Phase,NO,CATEGORY,State,SCHOOL
1,1,SM,,"SMS Tengku Muhammad Faris Petra, Kelantan"
1,2,SR,,"SK Zainab 2, Kelantan"
1,3,SM,,"Tunku Kurshiah College, Negeri Sembilan"
1,4,SM,,"Malay College Kuala Kangsar, Perak"
1,5,SM,,"SMK Derma, Perlis"
1,6,SM,,"Sultan Alam Shah Islamic College, Selangor"
1,7,SM,,"SMK Sultan Sulaiman, Terengganu"
1,8,SM,,"SMK Convent Bukit Nanas, Kuala Lumpur"
1,9,SM,,"SMK St John, Kuala Lumpur"
1,10,SM,,"SMK Victoria, Kuala Lumpur"
1,11,SM,,"Sultan Alam Shah School, Selangor"
1,12,SR,,"SK Infant Jesus Convent, Melaka"
1,13,SM,,"SMK Sultanah Asma, Kedah"
1,14,SR,,"SJKC Keat Hwa (H), Kedah"
1,15,SM,,"SMKA Sharifah Rodziah, Melaka"
1,16,SM,,"SM Teknik Tuanku Jaafar, Negeri Sembilan"
1,17,SM,,"SMK Abdul Rahman Talib, Perak"
1,18,SM,,"SMK Gunung Rapat, Perak"
1,19,SR,,"SK Sultan Idris 2, Perak"
1,20,SM,,"SMK Penang Free, Penang"
1,21,SM,,"SMKA Al-Mashoor (L), Penang"
1,22,SM,,"SM Vokasional Tawau, Sabah"
1,23,SR,,"SK Sri Gaya, Sabah"
1,24,SM,,"SMK (P) Sri Aman, Selangor"
1,25,SR,,"SJKT Simpang Lima, Selangor"
1,26,SM,,"SMKA Sheikh Abdul Malek, Terengganu"
1,27,SM,,"SMK Aminuddin Baki, Kuala Lumpur"
1,28,SR,,"SK Pengkalan Tereh, Johor"
1,29,SR,,"SKPK Alma (Visibility), Penang"
1,30,SR,,"SK Ulu Lubai, Sarawak"
2,1,SM,,"Tun Fatimah School, Johor"
2,2,SM,,"SMS Muzaffar Syah, Melaka"
2,3,SM,,"Dato 'Abdul Razak School, Negeri Sembilan"
2,4,SM,,"SMK King George V, Negeri Sembilan"
2,5,SR,,"SK (P) Methodist, Kuala Lumpur"
2,6,SM,,"SMJK Ave Maria Convent, Perak"
2,7,SM,,"SMK (P) St. George, Penang"
2,8,SM,,"SM Sains Kuching, Sarawak"
2,9,SM,,"Datu Patinggi College Abang Haji Abdillah, Sarawak"
2,10,SM,,"Seri Puteri School, Selangor"
2,11,SM,,"SM Agama Persekutuan Kajang, Selangor"
2,12,SM,,"SMK (L) Methodist, Kuala Lumpur"
2,13,SM,,"SMK Sultan Ismail, Johor"
2,14,SR,,"SJKT Masai, Johor"
2,15,SR,,"SK Sultan Ahmad Tajuddin, Kedah"
2,16,SM,,"SMK Dato 'Ahmad Maher, Kelantan"
2,17,SM,,"High School Female Melaka, Melaka"
2,18,SM,,"SMKA Sheikh Hj Mohd Said, Negeri Sembilan"
2,19,SR,,"SK Puteri, Negeri Sembilan"
2,20,SM,,"SMK Raja Permaisuri Bainun, Perak"
2,21,SR,,"SK Sena, Perlis"
2,22,SM,,"SM High Kota Kinabalu, Sabah"
2,23,SR,,"SJKC Lick Hung, Selangor"
2,24,SM,,"SMK Tengku Mahmud, Terengganu"
2,25,SR,,"SK Tengku Ampuan Intan, Terengganu"
2,26,SR,,SK Setiawangsa
2,27,SM,,"Bukit Jalil Sports School, Kuala Lumpur"
2,28,SM,,SM Technical Kuala Lumpur
2,29,SR,,"SK Bandar 2, Paloh Hinai, Pahang"
2,30,SM,,"SMK Desa Kencana, Sabah"
3,1,SM,,"Maktab Sultan Abu Bakar, Johor"
3,2,SM,,"SMK (P) Sultan Ibrahim, Johor"
3,3,SM,,"SMK Infant Jesus Convent, Johor"
3,4,SM,,"SMJK Sin Min (CF), Kedah"
3,5,SM,,"SM Science Machang, Kelantan"
3,6,SM,,"Maktab Sultan Ismail, Kelantan"
3,7,SM,,"SMK Zainab (1), Kelantan"
3,8,SM,,"SMK Tinggi Melaka, Melaka"
3,9,SM,,"SMS Tg Abdullah, Pahang"
3,10,SM,,"Science of Sultan Hj Ahmad Shah, Pahang"
3,11,SM,,"Tuanku Abdul Rahman School, Perak"
3,12,SR,,"SK Convent Kota, Taiping, Perak"
3,13,SM,,"SM Sains Teluk Intan, Perak"
3,14,SM,,"SM Sains Raja Tun Azlan Shah, Perak"
