Table 1
NEGERI,PPD,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,PRASEKOLAH,PKHAS
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0001,SEKOLAH KEBANGSAAN TOH TANDEWA SAKTI,JALAN KELAB,35000,TAPAH,054011341,054010387,ABA0001@moe.edu.my,Bandar,Kerajaan,ADA,ADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0002,SEKOLAH KEBANGSAAN PENDITA ZA'BA,JALAN TAPAH ROAD,35400,TAPAH ROAD,054182740,054182740,ABA0002@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0003,SEKOLAH KEBANGSAAN BANIR,BANIR,35400,TAPAH ROAD,054270085,TIADA,ABA0003@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0004,SEKOLAH KEBANGSAAN TEMOH,KAMPUNG TEMOH STESEN,35350,TEMOH,054690253,054690263,ABA0004@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0005,SEKOLAH KEBANGSAAN CHENDERIANG,JALAN CHENDERIANG,35300,CHENDERIANG,054161461,054161461,ABA0005@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0006,SEKOLAH KEBANGSAAN BIDOR,JALAN SUNGKAI,35500,BIDOR,054340797,054340797,ABA0006@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0007,SEKOLAH KEBANGSAAN KAMPONG POH,KAMPONG POH,35500,BIDOR,054270103,TIADA,ABA0007@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0008,SEKOLAH KEBANGSAAN BATU TIGA,KAMPUNG BATU TIGA,35350,TEMOH,054198507,054190161,ABA0008@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0009,SEKOLAH KEBANGSAAN BATU MELINTANG,KAMPUNG BATU MELINTANG,35000,TAPAH,054270035,054270035,ABA0009@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
PERAK,PPD BATANG PADANG,Kebangsaan,ABA0010,SEKOLAH KEBANGSAAN HAJI HASAN,CHANGKAT PETAI,35400,TAPAH ROAD,056591069,056591069,ABA0010@moe.edu.my,Luar Bandar,Kerajaan,ADA,TIADA
