Table 1
NEGERI,PPD,JENIS/LABEL,KODSEKOLAH,NAMASEKOLAH,ALAMATSURAT,POSKODSURAT,BANDARSURAT,NOTELEFON,NOFAX,EMAIL,LOKASI,BANTUAN,PRASEKOLAH,PKHAS
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0033,SEKOLAH MENENGAH KEBANGSAAN HAMID KHAN,JALAN DAMAI,35000,TAPAH,054011181,054014200,AEA0033@moe.edu.my,Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0035,SEKOLAH MENENGAH KEBANGSAAN TROLAK SELATAN,FELDA TROLAK SELATAN,35600,SUNGKAI,054322303,054321125,AEA0035@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0037,SEKOLAH MENENGAH KEBANGSAAN (FELDA) BESOUT,FELDA GUNUNG BESOUT 1,35600,SUNGKAI,054311721,054313292,AEA0037@moe.edu.my,Luar Bandar,Kerajaan,TIADA,ADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0038,SEKOLAH MENENGAH KEBANGSAAN SUNGAI KERUIT,SIMPANG SUNGAI KLAH,35600,SUNGKAI,054388308,054386443,AEA0038@moe.edu.my,Luar Bandar,Kerajaan,TIADA,ADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0039,SEKOLAH MENENGAH KEBANGSAAN AIR KUNING,JALAN DEGONG,31920,MAMBANG DI AWAN,054789879,054780684,AEA0039@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0040,SEKOLAH MENENGAH KEBANGSAAN CHENDERIANG,"KM 2, JALAN TEMOH TAPAH",35350,TEMOH,054199328,054190145,AEA0040@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0041,SEKOLAH MENENGAH KEBANGSAAN TAPAH,JALAN BIDOR LAMA,35000,TAPAH,054013677,054011296,AEA0041@moe.edu.my,Luar Bandar,Kerajaan,TIADA,ADA
PERAK,PPD BATANG PADANG,SM Kebangsaan,AEA0042,SEKOLAH MENENGAH KEBANGSAAN BIDOR,JALAN TELUK INTAN,35500,BIDOR,054347127,054340400,AEA0042@moe.edu.my,Luar Bandar,Kerajaan,TIADA,ADA
PERAK,PPD BATANG PADANG,SM Berasrama Penuh,AEA0043,SEKOLAH MENENGAH SAINS TAPAH,"BATU 2, JALAN PAHANG",35000,TAPAH,054018745,054018743,AEA0043@moe.edu.my,Luar Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD MANJUNG,SM Kebangsaan,AEA1109,SEKOLAH MENENGAH KEBANGSAAN SERI MANJUNG,SERI MANJUNG,32040,SERI MANJUNG,056881372,056887133,AEA1109@moe.edu.my,Bandar,Kerajaan,TIADA,TIADA
PERAK,PPD MANJUNG,SM Kebangsaan,AEA1110,SEKOLAH MENENGAH KEBANGSAAN AHMAD BOESTAMAM,JLN HJ MOHD ALI,32000,SITIAWAN,056911552,056927724,AEA1110@moe.edu.my,Bandar,Kerajaan,TIADA,TIADA
